NomFichier,Chemin,Temps;;;NomFichier;Chemin;Temps(ns);Temps(ms)
./Graphes/Graphe1.txt,1-10,4315600;;;./Graphes/Graphe1.txt;1-10;4315600;4,3156
./Graphes/Graphe2.txt,1-10,3652500;;;./Graphes/Graphe2.txt;1-10;3652500;3,6525
./Graphes/Graphe4.txt,1-10,3884500;;;./Graphes/Graphe4.txt;1-10;3884500;3,8845
./Graphes/Graphe11.txt,1-10,3586600;;;./Graphes/Graphe11.txt;1-10;3586600;3,5866
./Graphes/Graphe12.txt,1-10,3970000;;;./Graphes/Graphe12.txt;1-10;3970000;3,97
./Graphes/Graphe13.txt,1-10,4685200;;;./Graphes/Graphe13.txt;1-10;4685200;4,6852
./Graphes/Graphe21.txt,1-10,5136900;;;./Graphes/Graphe21.txt;1-10;5136900;5,1369
./Graphes/Graphe22.txt,1-10,4970800;;;./Graphes/Graphe22.txt;1-10;4970800;4,9708
./Graphes/Graphe23.txt,1-10,4928700;;;./Graphes/Graphe23.txt;1-10;4928700;4,9287
./Graphes/Graphe31.txt,1-10,4893300;;;./Graphes/Graphe31.txt;1-10;4893300;4,8933
./Graphes/Graphe32.txt,1-10,4580900;;;./Graphes/Graphe32.txt;1-10;4580900;4,5809
./Graphes/Graphe33.txt,1-10,4574200;;;./Graphes/Graphe33.txt;1-10;4574200;4,5742
./Graphes/Graphe41.txt,1-10,5621100;;;./Graphes/Graphe41.txt;1-10;5621100;5,6211
./Graphes/Graphe42.txt,1-10,6038400;;;./Graphes/Graphe42.txt;1-10;6038400;6,0384
./Graphes/Graphe43.txt,1-10,5291100;;;./Graphes/Graphe43.txt;1-10;5291100;5,2911
./Graphes/Graphe51.txt,1-10,6948700;;;./Graphes/Graphe51.txt;1-10;6948700;6,9487
./Graphes/Graphe52.txt,1-10,6473100;;;./Graphes/Graphe52.txt;1-10;6473100;6,4731
./Graphes/Graphe53.txt,1-10,6152300;;;./Graphes/Graphe53.txt;1-10;6152300;6,1523
./Graphes/Graphe61.txt,1-10,6859000;;;./Graphes/Graphe61.txt;1-10;6859000;6,859
./Graphes/Graphe62.txt,1-10,6806300;;;./Graphes/Graphe62.txt;1-10;6806300;6,8063
./Graphes/Graphe63.txt,1-10,8767800;;;./Graphes/Graphe63.txt;1-10;8767800;8,7678
./Graphes/Graphe71.txt,1-10,9101200;;;./Graphes/Graphe71.txt;1-10;9101200;9,1012
./Graphes/Graphe72.txt,1-10,8481100;;;./Graphes/Graphe72.txt;1-10;8481100;8,4811
./Graphes/Graphe73.txt,1-10,8447700;;;./Graphes/Graphe73.txt;1-10;8447700;8,4477
./Graphes/Graphe81.txt,1-10,8621400;;;./Graphes/Graphe81.txt;1-10;8621400;8,6214
./Graphes/Graphe82.txt,1-10,9243600;;;./Graphes/Graphe82.txt;1-10;9243600;9,2436
./Graphes/Graphe83.txt,1-10,13376200;;;./Graphes/Graphe83.txt;1-10;13376200;13,3762
./Graphes/Graphe91.txt,1-10,9717200;;;./Graphes/Graphe91.txt;1-10;9717200;9,7172
./Graphes/Graphe92.txt,1-10,8314300;;;./Graphes/Graphe92.txt;1-10;8314300;8,3143
./Graphes/Graphe93.txt,1-10,8896600;;;./Graphes/Graphe93.txt;1-10;8896600;8,8966
./Graphes/Graphe101.txt,1-10,9758100;;;./Graphes/Graphe101.txt;1-10;9758100;9,7581
./Graphes/Graphe102.txt,1-10,11253900;;;./Graphes/Graphe102.txt;1-10;11253900;11,2539
./Graphes/Graphe103.txt,1-10,9745100;;;./Graphes/Graphe103.txt;1-10;9745100;9,7451
./Graphes/Graphe201.txt,1-10,17904500;;;./Graphes/Graphe201.txt;1-10;17904500;17,9045
./Graphes/Graphe202.txt,1-10,18021000;;;./Graphes/Graphe202.txt;1-10;18021000;18,021
./Graphes/Graphe203.txt,1-10,19615800;;;./Graphes/Graphe203.txt;1-10;19615800;19,6158
./Graphes/Graphe301.txt,1-10,28405600;;;./Graphes/Graphe301.txt;1-10;28405600;28,4056
./Graphes/Graphe302.txt,1-10,27480800;;;./Graphes/Graphe302.txt;1-10;27480800;27,4808
./Graphes/Graphe303.txt,1-10,30611300;;;./Graphes/Graphe303.txt;1-10;30611300;30,6113
./Graphes/Graphe401.txt,1-10,33803100;;;./Graphes/Graphe401.txt;1-10;33803100;33,8031
./Graphes/Graphe402.txt,1-10,34504800;;;./Graphes/Graphe402.txt;1-10;34504800;34,5048
./Graphes/Graphe403.txt,1-10,39182300;;;./Graphes/Graphe403.txt;1-10;39182300;39,1823
./Graphes/Graphe501.txt,1-10,42095800;;;./Graphes/Graphe501.txt;1-10;42095800;42,0958
./Graphes/Graphe601.txt,1-10,52876600;;;./Graphes/Graphe601.txt;1-10;52876600;52,8766
./Graphes/Graphe701.txt,1-10,63138700;;;./Graphes/Graphe701.txt;1-10;63138700;63,1387
./Graphes/Graphe801.txt,1-10,80896400;;;./Graphes/Graphe801.txt;1-10;80896400;80,8964
./Graphes/Graphe901.txt,1-10,96903200;;;./Graphes/Graphe901.txt;1-10;96903200;96,9032
./Graphes/Graphe902.txt,1-10,93673600;;;./Graphes/Graphe902.txt;1-10;93673600;93,6736
./Graphes/Graphe903.txt,1-10,97069000;;;./Graphes/Graphe903.txt;1-10;97069000;97,069
